Rank,AdmitTermCode,ESP,GPA,CourseLocation,Decision
1,1178,1,3.333,0,1
1,1178,1,2.817,0,1
2,1178,1,3.333,0,1
1,1156,1,1.5,0,1
1,1178,1,3.617,0,1
1,1168,1,2.728,0,1
2,1168,1,2.728,0,1
1,1178,1,2.95,0,1
1,1176,0,3,0,1
2,1178,1,2.567,0,1
1,1178,1,2.567,0,1
1,1178,1,3.85,0,1
1,1178,1,3,0,1
3,1178,1,3.367,0,1
1,1168,0,3.588,1,1
1,1178,1,3,0,1
1,1156,1,3,0,1
1,1158,0,3.367,0,1
1,1178,1,3.367,0,1
2,1146,0,3.57,0,1
1,1146,0,3.57,0,1
1,1168,1,2.817,0,1
2,1168,1,2.817,0,1
1,1178,1,3.433,0,1
1,1158,0,3.85,0,1
1,1138,1,2.159,0,1
2,1156,1,2.7,0,1
1,1178,1,2.717,0,1
1,1158,0,2.84,0,1
2,1158,0,3.7,0,1
1,1156,1,2.7,0,1
2,1148,0,2.344,0,1
2,1138,1,2.159,0,1
1,1158,0,2.861,0,1
1,1148,0,2.344,0,1
1,1158,0,1,0,1
1,1178,0,3.2,0,0
1,1178,0,3.2,0,0
2,1178,1,3,0,0
1,1168,0,3.248,1,0
3,1146,0,3.57,0,0
2,1168,0,3.248,1,0
1,1158,0,3.88,0,0
1,1178,0,3,0,0
2,1174,0,3.469,0,0
1,1178,0,3.88,0,0
1,1174,0,3.469,0,0
1,1168,0,3.21,0,0
1,1168,0,2.57,0,0
1,1168,0,3.652,1,0
1,1178,0,3.94,0,0
2,1178,0,3.94,0,0
1,1168,0,3.447,0,0
4,1158,0,2.84,0,0
3,1158,0,2.84,0,0
2,1158,0,2.84,0,0
1,1158,0,3.711,1,0
2,1178,1,2.817,0,0
1,1168,0,2.771,1,0
2,1178,1,3.367,0,0
1,1168,0,2.023,0,0
1,1158,0,3.7,0,0
1,1168,1,2.521,0,0
1,1168,0,2.027,0,0
2,1168,0,2.023,0,0
1,1158,0,3.36,0,0
1,1168,0,3.62,0,0
1,1158,0,3.25,0,0
2,1158,0,3.36,0,0
1,1158,0,3.7,0,0
1,1156,1,3.575,0,0
2,1168,0,2.651,0,0
1,1168,0,2.651,0,0
2,1168,0,2.553,0,0
1,1168,0,2.553,0,0
1,1158,0,3.464,0,0
1,1148,1,3.05,0,0
1,1168,0,1.661,0,0
3,1148,0,2.344,0,0
2,1148,1,3.05,0,0
1,1178,0,3,0,0
2,1178,0,3,0,0
1,1178,1,3.367,0,0
5,1178,1,3.367,0,0
4,1178,1,3.367,0,0
2,1148,0,3.54,0,0
2,1178,1,3.367,0,0
3,1178,1,3.367,0,0
1,1158,0,3.452,1,0
5,1178,1,3.367,0,0
4,1178,1,3.367,0,0
1,1148,0,3.54,0,0
2,1178,1,3,0,0
2,1158,0,2.555,0,0
1,1158,0,2.555,0,0
2,1178,1,3.433,0,0
3,1158,0,2.555,0,0
1,1156,1,2.7,0,0
2,1178,1,3.617,0,0
3,1156,1,2.7,0,0
2,1156,1,2.7,0,0
2,1158,0,3.452,1,0